product_name,city,order_id,customer_id,customer_name,product_id,product_category,payment_type,qty,price,datetime,country,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
Nursery Rocking Chair,Phoenix,108,1,Alice Johnson,18,Kids Furniture,Internet Banking,1,119.99,2021-11-21T06:30:14.000-06:00,USA,CozyCornerDecor.com,9622,Y,SUCCESS
Nursery Rocking Chair,Phoenix,2090,1,Alice Johnson,18,Kids Furniture,Internet Banking,4,119.99,2020-11-30T16:01:36.000-06:00,USA,HomeHavenFurniture.com,6091,Y,SUCCESS
Nursery Rocking Chair,Phoenix,2880,1,Alice Johnson,18,Kids Furniture,Card,3,119.99,2020-10-28T19:41:28.000-05:00,USA,CozyCornerDecor.com,5763,Y,SUCCESS
Nursery Rocking Chair,Phoenix,3110,1,Alice Johnson,18,Kids Furniture,Card,2,119.99,2020-01-07T17:34:21.000-06:00,USA,TimelessHomeStyles.com,8298,N,Insufficient Funds
Nursery Rocking Chair,Phoenix,3634,1,Alice Johnson,18,Kids Furniture,Card,1,119.99,2020-02-01T01:22:50.000-06:00,USA,TimelessHomeStyles.com,4224,Y,SUCCESS
Nursery Rocking Chair,Phoenix,4320,1,Alice Johnson,18,Kids Furniture,Card,2,119.99,2020-02-14T15:12:17.000-06:00,USA,CozyCornerDecor.com,5402,Y,SUCCESS
Nursery Rocking Chair,Phoenix,4447,1,Alice Johnson,18,Kids Furniture,UPI,1,119.99,2020-04-15T21:58:28.000-05:00,USA,HomeHavenFurniture.com,6626,N,Insufficient Funds
Nursery Rocking Chair,Phoenix,4611,1,Alice Johnson,18,Kids Furniture,Wallet,4,119.99,2021-11-04T15:02:54.000-05:00,USA,StyleNestFurniture.com,9195,N,Insufficient Funds
Nursery Rocking Chair,Phoenix,5060,1,Alice Johnson,18,Kids Furniture,Internet Banking,1,119.99,2020-10-04T05:18:02.000-05:00,USA,HomeHavenFurniture.com,8292,Y,SUCCESS
Nursery Rocking Chair,Phoenix,6611,1,Alice Johnson,18,Kids Furniture,Wallet,1,119.99,2020-10-01T19:58:27.000-05:00,USA,HomeHavenFurniture.com,1233,N,Insufficient Funds
Nursery Rocking Chair,Phoenix,7275,1,Alice Johnson,18,Kids Furniture,Card,3,119.99,2021-10-30T12:44:50.000-05:00,USA,StyleNestFurniture.com,2987,Y,SUCCESS
